channel1,channel2
-0.9877,0.0111
-0.9921,-0.0046
-0.9956,-0.0204
-0.9980,-0.0363
-0.9995,-0.0522
-1.0000,-0.0682
-0.9995,-0.0841
-0.9980,-0.1001
-0.9956,-0.1160
-0.9921,-0.1319
-0.9877,-0.1478
-0.9823,-0.1635
-0.9759,-0.1792
-0.9686,-0.1948
-0.9603,-0.2103
-0.9511,-0.2256
-0.9409,-0.2408
-0.9298,-0.2558
-0.9178,-0.2706
-0.9048,-0.2852
-0.8910,-0.2996
-0.8763,-0.3138
-0.8607,-0.3277
-0.8443,-0.3414
-0.8271,-0.3548
-0.8090,-0.3679
-0.7902,-0.3807
-0.7705,-0.3931
-0.7501,-0.4052
-0.7290,-0.4170
-0.7071,-0.4284
-0.6845,-0.4394
-0.6613,-0.4501
-0.6374,-0.4603
-0.6129,-0.4701
-0.5878,-0.4795
-0.5621,-0.4885
-0.5358,-0.4970
-0.5090,-0.5050
-0.4818,-0.5126
-0.4540,-0.5197
-0.4258,-0.5263
-0.3971,-0.5324
-0.3681,-0.5380
-0.3387,-0.5431
-0.3090,-0.5476
-0.2790,-0.5517
-0.2487,-0.5551
-0.2181,-0.5581
-0.1874,-0.5605
-0.1564,-0.5623
-0.1253,-0.5636
-0.0941,-0.5643
-0.0628,-0.5645
-0.0314,-0.5641
0.0000,-0.5631
0.0314,-0.5615
0.0628,-0.5594
0.0941,-0.5567
0.1253,-0.5534
0.1564,-0.5496
0.1874,-0.5451
0.2181,-0.5402
0.2487,-0.5346
0.2790,-0.5285
0.3090,-0.5218
0.3387,-0.5146
0.3681,-0.5068
0.3971,-0.4985
0.4258,-0.4896
0.4540,-0.4802
0.4818,-0.4703
0.5090,-0.4599
0.5358,-0.4489
0.5621,-0.4375
0.5878,-0.4256
0.6129,-0.4131
0.6374,-0.4003
0.6613,-0.3869
0.6845,-0.3731
0.7071,-0.3589
0.7290,-0.3443
0.7501,-0.3292
0.7705,-0.3137
0.7902,-0.2979
0.8090,-0.2817
0.8271,-0.2651
0.8443,-0.2482
0.8607,-0.2310
0.8763,-0.2135
0.8910,-0.1957
0.9048,-0.1776
0.9178,-0.1593
0.9298,-0.1407
0.9409,-0.1219
0.9511,-0.1029
0.9603,-0.0837
0.9686,-0.0643
0.9759,-0.0448
0.9823,-0.0252
0.9877,-0.0055
0.9921,0.0144
0.9956,0.0343
0.9980,0.0542
0.9995,0.0742
1.0000,0.0941
0.9995,0.1141
0.9980,0.1341
0.9956,0.1539
0.9921,0.1738
0.9877,0.1935
0.9823,0.2131
0.9759,0.2326
0.9686,0.2519
0.9603,0.2711
0.9511,0.2900
0.9409,0.3088
0.9298,0.3273
0.9178,0.3456
0.9048,0.3636
0.8910,0.3813
0.8763,0.3987
0.8607,0.4157
0.8443,0.4325
0.8271,0.4488
0.8090,0.4648
0.7902,0.4804
0.7705,0.4955
0.7501,0.5102
0.7290,0.5245
0.7071,0.5383
0.6845,0.5516
0.6613,0.5645
0.6374,0.5768
0.6129,0.5885
0.5878,0.5998
0.5621,0.6105
0.5358,0.6206
0.5090,0.6301
0.4818,0.6391
0.4540,0.6474
0.4258,0.6552
0.3971,0.6623
0.3681,0.6687
0.3387,0.6746
0.3090,0.6798
0.2790,0.6843
0.2487,0.6882
0.2181,0.6913
0.1874,0.6939
0.1564,0.6957
0.1253,0.6968
0.0941,0.6973
0.0628,0.6971
0.0314,0.6961
0.0000,0.6945
-0.0314,0.6922
-0.0628,0.6891
-0.0941,0.6854
-0.1253,0.6810
-0.1564,0.6759
-0.1874,0.6701
-0.2181,0.6636
-0.2487,0.6564
-0.2790,0.6485
-0.3090,0.6400
-0.3387,0.6308
-0.3681,0.6209
-0.3971,0.6104
-0.4258,0.5993
-0.4540,0.5875
-0.4818,0.5750
-0.5090,0.5620
-0.5358,0.5483
-0.5621,0.5341
-0.5878,0.5193
-0.6129,0.5039
-0.6374,0.4879
-0.6613,0.4714
-0.6845,0.4544
-0.7071,0.4369
-0.7290,0.4188
-0.7501,0.4003
-0.7705,0.3814
-0.7902,0.3619
-0.8090,0.3421
-0.8271,0.3218
-0.8443,0.3012
-0.8607,0.2802
-0.8763,0.2588
-0.8910,0.2371
-0.9048,0.2151
-0.9178,0.1928
-0.9298,0.1702
-0.9409,0.1474
-0.9511,0.1244
-0.9603,0.1011
-0.9686,0.0777
-0.9759,0.0541
-0.9823,0.0304
-0.9877,0.0066
-0.9921,-0.0173
-0.9956,-0.0413
-0.9980,-0.0653
-0.9995,-0.0893
-1.0000,-0.1133
-0.9995,-0.1373
-0.9980,-0.1612
-0.9956,-0.1851
-0.9921,-0.2088
-0.9877,-0.2324
-0.9823,-0.2559
-0.9759,-0.2791
-0.9686,-0.3022
-0.9603,-0.3251
-0.9511,-0.3477
-0.9409,-0.3700
-0.9298,-0.3920
-0.9178,-0.4137
-0.9048,-0.4351
-0.8910,-0.4561
-0.8763,-0.4767
-0.8607,-0.4969
-0.8443,-0.5167
-0.8271,-0.5360
-0.8090,-0.5549
-0.7902,-0.5733
-0.7705,-0.5911
-0.7501,-0.6084
-0.7290,-0.6252
-0.7071,-0.6414
-0.6845,-0.6570
-0.6613,-0.6720
-0.6374,-0.6864
-0.6129,-0.7001
-0.5878,-0.7132
-0.5621,-0.7256
-0.5358,-0.7374
-0.5090,-0.7484
-0.4818,-0.7587
-0.4540,-0.7683
-0.4258,-0.7772
-0.3971,-0.7853
-0.3681,-0.7927
-0.3387,-0.7993
-0.3090,-0.8051
-0.2790,-0.8101
-0.2487,-0.8144
-0.2181,-0.8178
-0.1874,-0.8204
-0.1564,-0.8223
-0.1253,-0.8233
-0.0941,-0.8235
-0.0628,-0.8228
-0.0314,-0.8214
0.0000,-0.8191
0.0314,-0.8160
0.0628,-0.8121
0.0941,-0.8073
0.1253,-0.8018
0.1564,-0.7954
0.1874,-0.7882
0.2181,-0.7802
